centroid_longitude,centroid_latitude,cluster
103.79367,1.40413,0
103.79619,1.40308,1
103.7913,1.40381,2
103.79425,1.40156,3
103.79439,1.40575,4
103.79458,1.40245,5
103.79334,1.40583,6
103.7969,1.40338,7
103.79252,1.40373,8
103.79045,1.40397,9
103.79183,1.4049,10
103.79376,1.40313,11
103.79487,1.40483,12
103.79525,1.40527,13
103.79301,1.40498,14
103.79549,1.40232,15
103.79097,1.40452,16
103.79482,1.402991,17
